GLAM Project,,,,,,,,,,
NASA/GSFC/GIMMS,,,,,,,,,,
USDA/FAS/IPAD,,,,,,,,,,
Created on 2022-04-21 04:51:17 UTC,,,,,,,,,,
,,,,,,,,,,
DB VERSION,v9,,,,,,,,,
SAT,Terra AM,,,,,,,,,
PRODUCT,MODIS NDVI 8-day,,,,,,,,,
MEAN,2001-2018,,,,,,,,,
MASK,GDA-CropID-China_2021_Rice,,,,,,,,,
SHAPE,ADM,,,,,,,,,
ID(s),28585,,,,,,,,,
MAX SAMPLE COUNT,760770,,,,,,,,,
,,,,,,,,,,
ORDINAL DATE,START DATE,END DATE,SOURCE,SAMPLE VALUE,SAMPLE COUNT,MEAN VALUE,MEAN COUNT,ANOM VALUE,MIN VALUE,MAX VALUE
2001-073,3/14/2001,3/21/2001,STD,0.263,385813,0.267,755847,-0.004,0.233,0.403
2001-081,3/22/2001,3/29/2001,STD,0.273,376367,0.275,756116,-0.002,0.204,0.329
2001-089,3/30/2001,4/6/2001,STD,0.266,597469,0.279,756336,-0.013,0.255,0.314
2001-097,4/7/2001,4/14/2001,STD,0.264,539998,0.282,756381,-0.018,0.236,0.314
2001-105,4/15/2001,4/22/2001,STD,0.259,717206,0.285,756337,-0.026,0.243,0.312
2001-113,4/23/2001,4/30/2001,STD,0.269,704330,0.299,756380,-0.03,0.233,0.338
2001-121,5/1/2001,5/8/2001,STD,0.259,661322,0.298,756163,-0.039,0.259,0.328
2001-129,5/9/2001,5/16/2001,STD,0.284,737720,0.298,756364,-0.014,0.276,0.313
2001-137,5/17/2001,5/24/2001,STD,0.301,686405,0.303,756382,-0.002,0.277,0.334
2001-145,5/25/2001,6/1/2001,STD,0.316,707786,0.306,756384,0.01,0.27,0.334
2001-153,6/2/2001,6/9/2001,STD,0.327,644483,0.331,756367,-0.004,0.299,0.375
2001-161,6/10/2001,6/17/2001,STD,0.377,597171,0.394,756372,-0.017,0.342,0.484
2001-169,6/18/2001,6/25/2001,STD,#N/A,#N/A,0.51,756340,#N/A,0.449,0.606
2001-177,6/26/2001,7/3/2001,STD,#N/A,#N/A,0.629,756171,#N/A,0.549,0.761
2001-185,7/4/2001,7/11/2001,STD,0.666,713176,0.724,756381,-0.058,0.634,0.82
2001-193,7/12/2001,7/19/2001,STD,0.731,720336,0.786,756384,-0.055,0.687,0.853
2001-201,7/20/2001,7/27/2001,STD,0.77,675524,0.82,756385,-0.05,0.739,0.87
2001-209,7/28/2001,8/4/2001,STD,0.801,451173,0.835,756384,-0.034,0.78,0.867
2001-217,8/5/2001,8/12/2001,STD,0.803,685011,0.833,756384,-0.03,0.803,0.86
2001-225,8/13/2001,8/20/2001,STD,0.789,667796,0.812,756384,-0.023,0.744,0.837
2001-233,8/21/2001,8/28/2001,STD,0.76,729530,0.775,756384,-0.015,0.737,0.815
2001-241,8/29/2001,9/5/2001,STD,0.708,690992,0.728,756385,-0.02,0.693,0.772
2001-249,9/6/2001,9/13/2001,STD,0.632,725714,0.664,756385,-0.032,0.632,0.722
2001-257,9/14/2001,9/21/2001,STD,0.531,714275,0.584,756385,-0.053,0.531,0.654
2001-265,9/22/2001,9/29/2001,STD,0.419,594267,0.514,756294,-0.095,0.419,0.568
2001-273,9/30/2001,10/7/2001,STD,0.341,701092,0.427,756384,-0.086,0.341,0.518
2001-281,10/8/2001,10/15/2001,STD,0.289,700903,0.351,755733,-0.062,0.289,0.442
2001-289,10/16/2001,10/23/2001,STD,0.269,712429,0.29,755382,-0.021,0.266,0.334
2001-297,10/24/2001,10/31/2001,STD,0.251,719450,0.26,755715,-0.009,0.245,0.301
2001-305,11/1/2001,11/8/2001,STD,0.238,560401,0.25,755692,-0.012,0.233,0.279
2001-313,11/9/2001,11/16/2001,STD,0.235,719130,0.243,755855,-0.008,0.226,0.268
2001-321,11/17/2001,11/24/2001,STD,0.228,630583,0.242,755788,-0.014,0.209,0.29
2001-329,11/25/2001,12/2/2001,STD,0.215,356950,0.248,754820,-0.033,0.215,0.293
2001-337,12/3/2001,12/10/2001,STD,0.21,365942,0.249,751599,-0.039,0.21,0.312
